Disease,Symptoms,Causes,Effects,Medicines,Doctor Name,Hospital Name,Specialist,Doctor Age,Doctor Location
Influenza (Flu),"Fever, chills, muscle aches, cough, congestion, runny nose, headaches, fatigue",Influenza viruses,"Pneumonia, bronchitis, sinus infections, worsening of chronic conditions","Antiviral drugs (Oseltamivir, Zanamivir), OTC medications (ibuprofen, acetaminophen)",Dr. Emily Clark,City Hospital,Infectious Disease Specialist,42,"New York, NY"
Hypertension (High Blood Pressure),"Often asymptomatic; severe cases may have headaches, shortness of breath, nosebleeds","Genetics, poor diet, lack of exercise, obesity, stress","Heart disease, stroke, kidney damage, vision loss","Antihypertensive drugs (ACE inhibitors, beta-blockers, diuretics)",Dr. John Smith,Heart Center,Cardiologist,50,"Boston, MA"
Diabetes Mellitus,"Increased thirst, frequent urination, extreme hunger, fatigue, blurred vision","Insulin resistance, autoimmune destruction of insulin-producing cells, genetic factors","Heart disease, kidney damage, nerve damage, eye damage","Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors",Dr. Lisa Nguyen,Diabetes Clinic,Endocrinologist,38,"San Francisco, CA"
Asthma,"Shortness of breath, chest tightness, wheezing, coughing","Allergens, respiratory infections, physical activity, air pollutants","Frequent hospital visits, reduced quality of life, respiratory failure","Inhalers (bronchodilators, corticosteroids), leukotriene modifiers",Dr. Michael Lee,Asthma Care Center,Pulmonologist,45,"Chicago, IL"
Coronary Artery Disease (CAD),"Chest pain, shortness of breath, heart attack",Plaque buildup in coronary arteries (atherosclerosis),"Heart attack, heart failure, arrhythmias","Statins, aspirin, beta-blockers, nitroglycerin",Dr. Susan Patel,Cardiac Institute,Cardiologist,55,"Los Angeles, CA"
Tuberculosis (TB),"Persistent cough, chest pain, coughing up blood, fatigue, weight loss",Mycobacterium tuberculosis bacteria,"Lung damage, spread to other organs, death if untreated","Antibiotics (Isoniazid, Rifampin, Ethambutol, Pyrazinamide)",Dr. Robert Adams,TB Specialty Hospital,Infectious Disease Specialist,48,"Atlanta, GA"
Alzheimer's Disease,"Memory loss, confusion, difficulty completing familiar tasks, personality changes","Age, genetics, certain lifestyle and environmental factors","Severe cognitive decline, inability to perform daily activities, death","Cholinesterase inhibitors, Memantine, supportive care",Dr. Karen White,Memory Care Center,Neurologist,53,"Miami, FL"
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, wheezing, chronic cough, mucus production","Long-term exposure to irritants (e.g., cigarette smoke, air pollution)","Respiratory infections, heart problems, lung cancer","Bronchodilators, inhaled steroids, phosphodiesterase-4 inhibitors",Dr. James Brown,Respiratory Clinic,Pulmonologist,60,"Seattle, WA"
Malaria,"Fever, chills, headache, nausea, vomiting, muscle pain",Plasmodium parasites transmitted by Anopheles mosquitoes,"Anemia, organ failure, death if untreated","Antimalarial drugs (Chloroquine, Artemisinin-based combination therapies)",Dr. Sarah Green,Global Health Hospital,Infectious Disease Specialist,46,"Houston, TX"
HIV/AIDS,"Flu-like symptoms, weight loss, fever, night sweats, recurrent infections",Human immunodeficiency virus (HIV),"Opportunistic infections, cancers, severe immune system damage",Antiretroviral therapy (ART),Dr. Daniel Harris,HIV Treatment Center,Infectious Disease Specialist,52,"Philadelphia, PA"
Rheumatoid Arthritis,"Joint pain, swelling, stiffness, fatigue, fever",Autoimmune response,"Joint damage, cardiovascular problems, lung disease","DMARDs (Methotrexate), biologics, NSAIDs",Dr. Olivia Turner,Arthritis Clinic,Rheumatologist,49,"Denver, CO"
Osteoporosis,"No symptoms in early stages; back pain, loss of height, stooped posture, bone fractures in later stages","Age, hormonal changes, deficiency in calcium or vitamin D","Fractures, disability, reduced quality of life","Bisphosphonates, calcium and vitamin D supplements, hormone-related therapy",Dr. William Johnson,Bone Health Center,Endocrinologist,54,"Phoenix, AZ"
Hepatitis B,"Fatigue, nausea, vomiting, jaundice, dark urine",Hepatitis B virus (HBV),"Liver damage, cirrhosis, liver cancer","Antiviral medications (Entecavir, Tenofovir), liver transplant in severe cases",Dr. Amanda Lee,Liver Clinic,Hepatologist,50,"San Diego, CA"
Migraine,"Severe headache, nausea, vomiting, sensitivity to light and sound","Genetics, environmental factors","Debilitating pain, reduced quality of life","Triptans, anti-nausea drugs, preventive medications (beta-blockers, antiepileptic drugs)",Dr. Steven Carter,Migraine Center,Neurologist,47,"Minneapolis, MN"
Parkinson's Disease,"Tremors, stiffness, slowed movement, balance problems",Loss of dopamine-producing neurons,"Mobility issues, difficulty with daily activities, cognitive changes","Levodopa, dopamine agonists, MAO-B inhibitors",Dr. Jessica Adams,Parkinson's Clinic,Neurologist,58,"Boston, MA"
Gout,"Sudden severe joint pain, swelling, redness, warmth",High levels of uric acid leading to crystal formation in joints,"Joint damage, kidney stones","NSAIDs, colchicine, corticosteroids, uric acid-lowering medications",Dr. Robert Lee,Gout Care Center,Rheumatologist,49,"New York, NY"
